id,title,fancy_title,slug,posts_count,reply_count,highest_post_number,image_url,created_at,last_posted_at,bumped,bumped_at,archetype,unseen,pinned,unpinned,excerpt,visible,closed,archived,bookmarked,liked,views,like_count,has_summary,last_poster_username,category_id,pinned_globally,featured_link,has_accepted_answer,posters
78260,About the jobs category,About the jobs category,about-the-jobs-category,1,0,1,,2020-04-24T16:57:23.122Z,2020-04-24T16:57:23.129Z,True,2020-08-03T14:50:03.293Z,regular,False,True,,,True,False,False,,,149,1,False,albanD,24,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 211, 'primary_group_id': None}]"
88974,Healthcare startup in radiology is looking for a Senior Deep Learning Team Lead and a Senior Deep Learning Expert,Healthcare startup in radiology is looking for a Senior Deep Learning Team Lead and a Senior Deep Learning Expert,healthcare-startup-in-radiology-is-looking-for-a-senior-deep-learning-team-lead-and-a-senior-deep-learning-expert,1,0,1,,2020-07-13T10:12:12.853Z,2020-07-13T10:12:12.909Z,True,2020-07-13T10:12:12.909Z,regular,False,False,,,True,False,False,,,78,1,False,MicPie,24,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 10623, 'primary_group_id': None}]"
78175,Freelancers required for deep learning,Freelancers required for deep learning,freelancers-required-for-deep-learning,1,0,1,,2020-04-24T06:37:20.308Z,2020-04-24T06:37:20.358Z,True,2020-04-24T20:28:11.033Z,regular,False,False,,,True,False,False,,,218,0,False,bluemoon,24,False,,False,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 30544, 'primary_group_id': None}]"
